"variable","nCases","meanSDCases","rangeCases","nControls","meanSDControls","rangeControls","difference","seDiff","tStatistic","pValue","pAdjust","sig"
"Body surface area",48,"2.026 (0.202)","(1.572, 2.497)",49,"1.866 (0.313)","(0.964, 2.782)",0.16015310886419,0.0536109932237855,2.98731844410476,0.00358084541244343,0.00875317767486172,TRUE
"NR fraction",48,"0.391 (0.120)","(0.037, 0.637)",49,"0.335 (0.068)","(0.157, 0.481)",0.0560877724529027,0.0197899410835981,2.83415560541452,0.00561258822921571,0.0123476941042746,TRUE
"RL fraction",48,"0.228 (0.133)","(0.009, 0.559)",49,"0.331 (0.091)","(0.067, 0.616)",-0.102974621575261,0.0230101359346185,-4.47518527782083,2.11935529991955e-05,0.000116564541495575,TRUE
"LN fraction",48,"0.381 (0.094)","(0.152, 0.602)",49,"0.334 (0.081)","(0.088, 0.504)",0.0468868491223579,0.0178690710773878,2.62391083002016,0.0101284075748843,0.0202568151497686,TRUE
"Total coaptation area, value",48,"648.704 (189.488)","(398.000, 1171.000)",49,"515.095 (224.243)","(206.000, 1087.660)",133.609272959184,42.1952466936304,3.16645317728058,0.00207472861294396,0.00654228601077008,TRUE
"Total coaptation area, calculated",48,"649.323 (189.494)","(398.560, 1171.491)",49,"515.761 (224.234)","(206.820, 1088.279)",133.562386110061,42.194700537667,3.1653829606121,0.0020816364579723,0.00654228601077008,TRUE
"Orifice area",48,"636.750 (196.511)","(341.000, 1221.000)",49,"486.755 (119.977)","(299.000, 812.000)",149.994897959184,32.9828869049368,4.54765825658314,1.59981359155525e-05,0.000116564541495575,TRUE
"Valve diameter",48,"32.110 (4.487)","(22.450, 47.260)",49,"26.676 (4.594)","(18.480, 36.680)",5.43366921768708,0.922346474898484,5.89113675344737,5.79505108064852e-08,1.27491123774267e-06,TRUE
"Valve area",48,"825.262 (234.532)","(395.843, 1754.193)",49,"575.142 (199.141)","(268.222, 1056.692)",250.120624400429,44.1437442917443,5.66604914044878,1.55827270127074e-07,1.71409997139781e-06,TRUE
"Total valve coaptation area relative to valve diameter",48,"20.084 (4.365)","(12.528, 32.113)",49,"18.743 (5.574)","(9.409, 34.659)",1.34060047086118,1.01793010443338,1.31698676070437,0.191011046652042,0.233457945908051,FALSE
"Total valve coaptation area relative to orifice area",48,"1.059 (0.266)","(0.559, 1.577)",49,"1.047 (0.321)","(0.449, 1.725)",0.0121494861224396,0.0599023205727852,0.202821627046606,0.839708213271255,0.839708213271255,FALSE
"Total valve coaptation area relative to valve area",48,"0.807 (0.191)","(0.471, 1.338)",49,"0.893 (0.203)","(0.407, 1.405)",-0.0855491561662159,0.0400184190292624,-2.1377445246815,0.0351042245475665,0.0482683087529039,TRUE
"Coaptation line length",48,"12.380 (3.753)","(3.129, 22.951)",49,"13.036 (4.003)","(5.630, 23.724)",-0.656234862920917,0.788262454435327,-0.832508080561837,0.407210185925333,0.426601147159873,FALSE
"Coaptation line length",48,"12.380 (3.753)","(3.129, 22.951)",49,"13.036 (4.003)","(5.630, 23.724)",-0.656234862920917,0.788262454435327,-0.832508080561837,0.407210185925333,0.426601147159873,FALSE
"Polar angle of coaptation line (top to bottom",48,"16.582 (12.494)","(1.280, 59.152)",49,"13.139 (10.433)","(1.492, 70.144)",3.44295607256237,2.33517589564058,1.47438832294811,0.143683312500726,0.185943110295057,FALSE
"Azimuthal angle of coaptation line",48,"184.684 (133.204)","(1.212, 358.824)",49,"211.443 (116.612)","(12.159, 349.432)",-26.7591261748529,25.4045402540216,-1.05332062329358,0.294865776635891,0.341423530841558,FALSE
"Total coaptation area, value, scaled to BSA",48,"321.319 (92.858)","(195.738, 620.607)",49,"274.736 (105.037)","(124.973, 551.560)",46.5833538883211,20.1452571732716,2.31237325429269,0.0229164529551527,0.0362974883317843,TRUE
"Total coaptation area, calculated, scaled to BSA",48,"321.627 (92.861)","(195.953, 620.867)",49,"275.106 (105.038)","(125.265, 551.874)",46.520609394157,20.1456177288393,2.30921732062655,0.0230984016656809,0.0362974883317843,TRUE
"Orifice area scaled to BSA",48,"314.830 (92.726)","(184.753, 609.195)",49,"264.295 (67.815)","(172.187, 515.540)",50.5358866725413,16.470081817333,3.06834460405398,0.00280497457929616,0.00771368009306443,TRUE
"Valve diameter scaled to BSA",48,"15.948 (2.400)","(11.706, 22.911)",49,"14.565 (3.087)","(9.971, 26.462)",1.3831109828651,0.562172429833981,2.46029671585559,0.0156890346827185,0.0287632302516506,TRUE
"Valve area scaled to BSA",48,"408.528 (114.056)","(218.166, 850.409)",49,"310.615 (105.079)","(162.031, 652.612)",97.9128804522099,22.2601002751587,4.39858218255541,2.84494926620253e-05,0.000125177767712911,TRUE
"Coaptation line length scaled to BSA",48,"6.150 (1.857)","(1.406, 11.371)",49,"7.010 (1.908)","(3.379, 11.130)",-0.860522490913928,0.382448791186067,-2.2500332351561,0.0267545245511151,0.0392399693416354,TRUE
