"variable","nCases","meanSDCases","rangeCases","nControls","meanSDControls","rangeControls","difference","seDiff","tStatistic","pValue","pAdjust","sig","formula"
"Body surface area",48,"2.03 (0.202)","(1.57, 2.5)",49,"1.87 (0.313)","(0.964, 2.78)",0.16015310886419,0.0536109932237855,2.98731844410476,0.00358084541244344,0.00572935265990951,TRUE,"bsa ~ type"
"NR fraction",48,"0.391 (0.12)","(0.0368, 0.637)",49,"0.335 (0.0682)","(0.157, 0.481)",0.0560877724529027,0.0197899410835981,2.83415560541452,0.00561258822921571,0.00816376469704104,TRUE,"nr_frac ~ type"
"RL fraction",48,"0.228 (0.133)","(0.00907, 0.559)",49,"0.331 (0.0906)","(0.067, 0.616)",-0.10297462157526,0.0230101359346184,-4.47518527782083,2.11935529991954e-05,6.78193695974253e-05,TRUE,"rl_frac ~ type"
"LN fraction",48,"0.381 (0.0945)","(0.152, 0.602)",49,"0.334 (0.0812)","(0.088, 0.504)",0.0468868491223579,0.0178690710773878,2.62391083002016,0.0101284075748843,0.0135045434331791,TRUE,"ln_frac ~ type"
"Standard deviation of leaflet fractions",48,"0.152 (0.0742)","(0.0226, 0.305)",49,"0.0838 (0.0506)","(0.0186, 0.266)",0.0678388760335156,0.0128744733945443,5.26925443507949,8.53818673756526e-07,4.55369959336814e-06,TRUE,"sdLeafletFrac ~ type"
"Total coaptation area, value",48,"649 (189)","(398, 1.17e+03)",49,"515 (224)","(206, 1.09e+03)",133.609272959184,42.1952466936304,3.16645317728058,0.00207472861294397,0.00370068703639518,TRUE,"total_area_value ~ type"
"Total coaptation area, calculated",48,"649 (189)","(399, 1.17e+03)",49,"516 (224)","(207, 1.09e+03)",133.562386110061,42.194700537667,3.1653829606121,0.00208163645797229,0.00370068703639518,TRUE,"total_area ~ type"
"Orifice area",48,"637 (197)","(341, 1.22e+03)",49,"487 (120)","(299, 812)",149.994897959184,32.9828869049368,4.54765825658314,1.59981359155525e-05,6.39925436622099e-05,TRUE,"orifice_area ~ type"
"Valve diameter",48,"32.1 (4.49)","(22.4, 47.3)",49,"26.7 (4.59)","(18.5, 36.7)",5.43366921768708,0.922346474898484,5.89113675344737,5.79505108064852e-08,9.27208172903763e-07,TRUE,"valve_diameter ~ type"
"Valve area",48,"825 (235)","(396, 1.75e+03)",49,"575 (199)","(268, 1.06e+03)",250.120624400428,44.1437442917443,5.66604914044877,1.55827270127075e-07,1.2466181610166e-06,TRUE,"valve_area ~ type"
"Total valve coaptation area relative to valve diameter",48,"20.1 (4.37)","(12.5, 32.1)",49,"18.7 (5.57)","(9.41, 34.7)",1.34060047086118,1.01793010443338,1.31698676070437,0.191011046652042,0.218298339030905,FALSE,"a_coap_size_valve ~ type"
"Total valve coaptation area relative to orifice area",48,"1.06 (0.266)","(0.559, 1.58)",49,"1.05 (0.321)","(0.449, 1.72)",0.0121494861224397,0.0599023205727852,0.202821627046607,0.839708213271254,0.839708213271254,FALSE,"a_coap_orifice_area ~ type"
"Total valve coaptation area relative to valve area",48,"0.807 (0.191)","(0.471, 1.34)",49,"0.893 (0.203)","(0.407, 1.41)",-0.0855491561662158,0.0400184190292624,-2.1377445246815,0.0351042245475665,0.0432051994431588,TRUE,"a_coap_valve_area ~ type"
"Coaptation line length",48,"12.4 (3.75)","(3.13, 23)",49,"13 (4)","(5.63, 23.7)",-0.656234862920917,0.788262454435326,-0.832508080561838,0.407210185925333,0.434357531653688,FALSE,"magnitude ~ type"
"Ceiling centroid point X-coordinate",48,"9.73 (3.96)","(1.28, 20)",49,"6.96 (2.55)","(-0.56, 12.6)",2.77132615109941,0.674933153132515,4.1060750064463,8.51762647401787e-05,0.000194688605120409,TRUE,"centroidCalcRotatedX ~ type"
"Ceiling centroid point Y-coordinate",48,"13.8 (3.72)","(4.44, 20.8)",49,"10.8 (3.25)","(0, 16.8)",3.00595827357528,0.709128610190099,4.23894654704379,5.20469467345242e-05,0.000138791857958731,TRUE,"centroidCalcRotatedY ~ type"
